             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.141941941942E+01      0.806257492242E+15      0.814169960539E+15      0.818861969902E+15      0.813096474228E+15
     -0.141541541542E+01      0.813716226508E+15      0.820911676376E+15      0.824745300703E+15      0.819791067862E+15
     -0.141141141141E+01      0.820695062829E+15      0.827198249834E+15      0.830180912892E+15      0.826024741852E+15
     -0.140740740741E+01      0.827209507254E+15      0.833044736418E+15      0.835181515307E+15      0.831811919660E+15
     -0.140340340340E+01      0.833282027150E+15      0.838471433381E+15      0.839768449196E+15      0.837173969909E+15
     -0.139939939940E+01      0.838940380123E+15      0.843502215192E+15      0.843970464000E+15      0.842137686438E+15
     -0.139539539540E+01      0.844215814207E+15      0.848163131017E+15      0.847821638444E+15      0.846733527889E+15
     -0.139139139139E+01      0.849141278148E+15      0.852481352403E+15      0.851358582446E+15      0.850993737666E+15
     -0.138738738739E+01      0.853749746194E+15      0.856484413561E+15      0.854617248872E+15      0.854950469542E+15
     -0.138338338338E+01      0.858072728930E+15      0.860199585392E+15      0.857629826049E+15      0.858634046790E+15
     -0.137937937938E+01      0.862139031681E+15      0.863653213155E+15      0.860422230747E+15      0.862071491861E+15
     -0.137537537538E+01      0.865973837774E+15      0.866869933070E+15      0.863012656363E+15      0.865285475735E+15
     -0.137137137137E+01      0.869598216929E+15      0.869871827045E+15      0.865411458172E+15      0.868293834049E+15
     -0.136736736737E+01      0.873029158390E+15      0.872677710597E+15      0.867622409522E+15      0.871109759503E+15
     -0.136336336336E+01      0.876280180251E+15      0.875302811103E+15      0.869645093572E+15      0.873742694975E+15
     -0.135935935936E+01      0.879362469653E+15      0.877759047266E+15      0.871477968022E+15      0.876199828314E+15
     -0.135535535536E+01      0.882286388876E+15      0.880055976947E+15      0.873121510987E+15      0.878487958937E+15
     -0.135135135135E+01      0.885063081242E+15      0.882202289961E+15      0.874580856136E+15      0.880615409113E+15
     -0.134734734735E+01      0.887705866580E+15      0.884207552075E+15      0.875867450108E+15      0.882593622921E+15
     -0.134334334334E+01      0.890231147208E+15      0.886083813187E+15      0.876999477087E+15      0.884438145827E+15
     -0.133933933934E+01      0.892658644990E+15      0.887846704083E+15      0.878001036815E+15      0.886168795296E+15
     -0.133533533534E+01      0.895010930118E+15      0.889515755396E+15      0.878900277907E+15      0.887808987807E+15
     -0.133133133133E+01      0.897312346515E+15      0.891113845145E+15      0.879726842155E+15      0.889384344605E+15
     -0.132732732733E+01      0.899587553525E+15      0.892665870040E+15      0.880509055933E+15      0.890920826499E+15
     -0.132332332332E+01      0.901859966916E+15      0.894196894726E+15      0.881271317619E+15      0.892442726421E+15
     -0.131931931932E+01      0.904150386284E+15      0.895730129684E+15      0.882032085193E+15      0.893970867054E+15
     -0.131531531532E+01      0.906476046300E+15      0.897285108468E+15      0.882802771779E+15      0.895521308849E+15
     -0.131131131131E+01      0.908850240299E+15      0.898876382354E+15      0.883587711718E+15      0.897104778124E+15
     -0.130730730731E+01      0.911282554630E+15      0.900512941824E+15      0.884385173906E+15      0.898726890120E+15
     -0.130330330330E+01      0.913779638780E+15      0.902198432493E+15      0.885189195897E+15      0.900389089057E+15
     -0.129929929930E+01      0.916346335090E+15      0.903932082253E+15      0.885991831929E+15      0.902090083091E+15
     -0.129529529530E+01      0.918986917259E+15      0.905710120568E+15      0.886785299965E+15      0.903827445931E+15
     -0.129129129129E+01      0.921706151956E+15      0.907527372965E+15      0.887563518451E+15      0.905599014458E+15
     -0.128728728729E+01      0.924509914207E+15      0.909378674646E+15      0.888322657943E+15      0.907403748932E+15
     -0.128328328328E+01      0.927405159388E+15      0.911259780283E+15      0.889060574157E+15      0.909241837943E+15
     -0.127927927928E+01      0.930399176367E+15      0.913167553643E+15      0.889775280497E+15      0.911114003502E+15
     -0.127527527528E+01      0.933498197206E+15      0.915099384777E+15      0.890462883295E+15      0.913020155093E+15
     -0.127127127127E+01      0.936705587414E+15      0.917051971310E+15      0.891115569379E+15      0.914957709368E+15
     -0.126726726727E+01      0.940019950636E+15      0.919019769689E+15      0.891720256013E+15      0.916919992113E+15
     -0.126326326326E+01      0.943433521471E+15      0.920993525709E+15      0.892258379411E+15      0.918895142197E+15
     -0.125925925926E+01      0.946931172752E+15      0.922959296495E+15      0.892707040490E+15      0.920865836579E+15
     -0.125525525526E+01      0.950490233813E+15      0.924898267664E+15      0.893041406532E+15      0.922809969336E+15
     -0.125125125125E+01      0.954081133466E+15      0.926787472809E+15      0.893237961390E+15      0.924702189221E+15
     -0.124724724725E+01      0.957668695505E+15      0.928601292938E+15      0.893277980585E+15      0.926515989676E+15
     -0.124324324324E+01      0.961213782526E+15      0.930313423801E+15      0.893150539181E+15      0.928225915170E+15
     -0.123923923924E+01      0.964674950789E+15      0.931898912256E+15      0.892854463929E+15      0.929809442325E+15
     -0.123523523524E+01      0.968009857869E+15      0.933335905416E+15      0.892398895348E+15      0.931248219544E+15
     -0.123123123123E+01      0.971176327777E+15      0.934606902937E+15      0.891802461844E+15      0.932528564186E+15
     -0.122722722723E+01      0.974133162019E+15      0.935699486205E+15      0.891091387498E+15      0.933641345240E+15
     -0.122322322322E+01      0.976840916239E+15      0.936606639671E+15      0.890297060299E+15      0.934581538736E+15
     -0.121921921922E+01      0.979262887669E+15      0.937326827647E+15      0.889453619410E+15      0.935347778242E+15
     -0.121521521522E+01      0.981366469784E+15      0.937863943343E+15      0.888595983049E+15      0.935942132059E+15
     -0.121121121121E+01      0.983124865499E+15      0.938227151613E+15      0.887758498654E+15      0.936370171922E+15
     -0.120720720721E+01      0.984518975254E+15      0.938430565488E+15      0.886974152131E+15      0.936641230958E+15
     -0.120320320320E+01      0.985539155876E+15      0.938492674210E+15      0.886274110848E+15      0.936768646978E+15
     -0.119919919920E+01      0.986186517457E+15      0.938435482444E+15      0.885687337310E+15      0.936769779070E+15
     -0.119519519520E+01      0.986473489395E+15      0.938283397072E+15      0.885240082178E+15      0.936665656215E+15
     -0.119119119119E+01      0.986423514763E+15      0.938061967552E+15      0.884955190103E+15      0.936480224139E+15
     -0.118718718719E+01      0.986069882920E+15      0.937796618812E+15      0.884851265250E+15      0.936239255661E+15
     -0.118318318318E+01      0.985453844797E+15      0.937511506969E+15      0.884941803357E+15      0.935969051708E+15
     -0.117917917918E+01      0.984622246020E+15      0.937228591190E+15      0.885234398863E+15      0.935695078691E+15
     -0.117517517518E+01      0.983624946599E+15      0.936966967480E+15      0.885730104325E+15      0.935440672802E+15
     -0.117117117117E+01      0.982512272530E+15      0.936742461949E+15      0.886422988479E+15      0.935225907653E+15
     -0.116716716717E+01      0.981332677324E+15      0.936567434275E+15      0.887299929542E+15      0.935066680380E+15
     -0.116316316316E+01      0.980130704068E+15      0.936450698714E+15      0.888340689339E+15      0.934974030707E+15
     -0.115915915916E+01      0.978945261253E+15      0.936397440819E+15      0.889518322562E+15      0.934953674878E+15
     -0.115515515516E+01      0.977808185242E+15      0.936409011385E+15      0.890799963904E+15      0.935005720177E+15
     -0.115115115115E+01      0.976743071912E+15      0.936482530325E+15      0.892147996516E+15      0.935124532918E+15
     -0.114714714715E+01      0.975764410541E+15      0.936610329378E+15      0.893521547519E+15      0.935298762479E+15
     -0.114314314314E+01      0.974877114835E+15      0.936779376652E+15      0.894878198834E+15      0.935511563440E+15
     -0.113913913914E+01      0.974076580511E+15      0.936970913501E+15      0.896175760851E+15      0.935741084954E+15
     -0.113513513514E+01      0.973349376092E+15      0.937160552643E+15      0.897373938803E+15      0.935961289179E+15
     -0.113113113113E+01      0.972674587390E+15      0.937319016161E+15      0.898435724176E+15      0.936143109242E+15
     -0.112712712713E+01      0.972025708212E+15      0.937413547138E+15      0.899328361538E+15      0.936255872296E+15
     -0.112312312312E+01      0.971372841704E+15      0.937409852783E+15      0.900023776294E+15      0.936268823594E+15
