  #energy          xx             yy              zz              xy              yz              zx
  0.21022000E+01  0.33798910E+01  0.33798910E+01  0.33798910E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21159000E+01  0.33851035E+01  0.33851035E+01  0.33851035E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21297000E+01  0.33883084E+01  0.33883084E+01  0.33883084E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21434000E+01  0.33890680E+01  0.33890680E+01  0.33890680E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21572000E+01  0.33872547E+01  0.33872547E+01  0.33872547E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21709000E+01  0.33827636E+01  0.33827636E+01  0.33827636E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21847000E+01  0.33758282E+01  0.33758282E+01  0.33758282E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21984000E+01  0.33668914E+01  0.33668914E+01  0.33668914E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22122000E+01  0.33566968E+01  0.33566968E+01  0.33566968E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22259000E+01  0.33461790E+01  0.33461790E+01  0.33461790E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22397000E+01  0.33363991E+01  0.33363991E+01  0.33363991E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22534000E+01  0.33283148E+01  0.33283148E+01  0.33283148E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22672000E+01  0.33227943E+01  0.33227943E+01  0.33227943E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22809000E+01  0.33201882E+01  0.33201882E+01  0.33201882E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22946000E+01  0.33208304E+01  0.33208304E+01  0.33208304E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23084000E+01  0.33248573E+01  0.33248573E+01  0.33248573E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23221000E+01  0.33316880E+01  0.33316880E+01  0.33316880E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23359000E+01  0.33411714E+01  0.33411714E+01  0.33411714E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23496000E+01  0.33525879E+01  0.33525879E+01  0.33525879E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23634000E+01  0.33658307E+01  0.33658307E+01  0.33658307E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23771000E+01  0.33802004E+01  0.33802004E+01  0.33802004E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23909000E+01  0.33957255E+01  0.33957255E+01  0.33957255E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24046000E+01  0.34117825E+01  0.34117825E+01  0.34117825E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24184000E+01  0.34285154E+01  0.34285154E+01  0.34285154E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24321000E+01  0.34453413E+01  0.34453413E+01  0.34453413E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24459000E+01  0.34624457E+01  0.34624457E+01  0.34624457E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24596000E+01  0.34791754E+01  0.34791754E+01  0.34791754E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24733000E+01  0.34955922E+01  0.34955922E+01  0.34955922E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24871000E+01  0.35117422E+01  0.35117422E+01  0.35117422E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25008000E+01  0.35269289E+01  0.35269289E+01  0.35269289E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25146000E+01  0.35413219E+01  0.35413219E+01  0.35413219E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25283000E+01  0.35543011E+01  0.35543011E+01  0.35543011E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25421000E+01  0.35660975E+01  0.35660975E+01  0.35660975E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25558000E+01  0.35761866E+01  0.35761866E+01  0.35761866E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25696000E+01  0.35849319E+01  0.35849319E+01  0.35849319E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25833000E+01  0.35919758E+01  0.35919758E+01  0.35919758E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25971000E+01  0.35978765E+01  0.35978765E+01  0.35978765E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26108000E+01  0.36024728E+01  0.36024728E+01  0.36024728E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26246000E+01  0.36065479E+01  0.36065479E+01  0.36065479E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26383000E+01  0.36101086E+01  0.36101086E+01  0.36101086E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26521000E+01  0.36141008E+01  0.36141008E+01  0.36141008E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26658000E+01  0.36184112E+01  0.36184112E+01  0.36184112E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26795000E+01  0.36238480E+01  0.36238480E+01  0.36238480E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26933000E+01  0.36311273E+01  0.36311273E+01  0.36311273E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27070000E+01  0.36396519E+01  0.36396519E+01  0.36396519E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27208000E+01  0.36499248E+01  0.36499248E+01  0.36499248E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27345000E+01  0.36610611E+01  0.36610611E+01  0.36610611E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27483000E+01  0.36734105E+01  0.36734105E+01  0.36734105E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27620000E+01  0.36859778E+01  0.36859778E+01  0.36859778E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27758000E+01  0.36993071E+01  0.36993071E+01  0.36993071E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27895000E+01  0.37126495E+01  0.37126495E+01  0.37126495E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
