#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 364  36
# Band-Index    1
   3.41718    -12.515504     0.000
   3.42733    -12.487334     0.000
   3.43748    -12.458645     0.000
   3.44763    -12.429445     0.000
   3.45778    -12.399723     0.000
   3.46793    -12.369484     0.000
   3.47808    -12.338721     0.000
   3.48823    -12.307449     0.000
   3.49838    -12.275668     0.000
   3.50854    -12.243349     0.000
   3.51869    -12.210551     0.000
   3.52884    -12.177208     0.000
   3.53899    -12.143351     0.000
   3.54914    -12.108982     0.000
   3.55929    -12.074104     0.000
   3.56944    -12.038707     0.000
   3.57959    -12.002801     0.000
   3.58974    -11.966388     0.000
   3.59989    -11.929460     0.000
   3.61004    -11.892027     0.000
   3.62020    -11.854079     0.000
   3.63035    -11.815621     0.000
   3.64050    -11.776653     0.000
   3.65065    -11.737187     0.000
 
# Band-Index    2
   3.65065    -11.737181     0.000
   3.64050    -11.698293     0.000
   3.63035    -11.661109     0.000
   3.62020    -11.625697     0.000
   3.61004    -11.592097     0.000
   3.59989    -11.560376     0.000
   3.58974    -11.530558     0.000
   3.57959    -11.502687     0.000
   3.56944    -11.476783     0.000
   3.55929    -11.452827     0.000
   3.54914    -11.430818     0.000
   3.53899    -11.410744     0.000
   3.52884    -11.392585     0.000
   3.51869    -11.376296     0.000
   3.50854    -11.361848     0.000
   3.49838    -11.349155     0.000
   3.48823    -11.338153     0.000
   3.47808    -11.328768     0.000
   3.46793    -11.320961     0.000
   3.45778    -11.314620     0.000
   3.44763    -11.309687     0.000
   3.43748    -11.306068     0.000
   3.42733    -11.303656     0.000
   3.41718    -11.302415     0.000
   3.40703    -11.302250     0.000
   3.39687    -11.303057     0.000
   3.38672    -11.304756     0.000
   3.37657    -11.307296     0.000
   3.36642    -11.310576     0.000
   3.35627    -11.314532     0.000
   3.34612    -11.319130     0.000
   3.33597    -11.324256     0.000
   3.32582    -11.329876     0.000
   3.31567    -11.335946     0.000
   3.30552    -11.342404     0.000
   3.29536    -11.349236     0.000
   3.28521    -11.356312     0.000
   3.27506    -11.363628     0.000
   3.26491    -11.371153     0.000
   3.25476    -11.378823     0.000
   3.24461    -11.386629     0.000
   3.23446    -11.394503     0.000
   3.22431    -11.402429     0.000
   3.21416    -11.410377     0.000
   3.20401    -11.418276     0.000
   3.19386    -11.426186     0.000
   3.18370    -11.434038     0.000
   3.17355    -11.441809     0.000
   3.16340    -11.449479     0.000
   3.15325    -11.457024     0.000
   3.14310    -11.464431     0.000
   3.13295    -11.471694     0.000
   3.12280    -11.478768     0.000
   3.11265    -11.485653     0.000
   3.10250    -11.492333     0.000
   3.09235    -11.498797     0.000
   3.08219    -11.505031     0.000
   3.07204    -11.511019     0.000
   3.06189    -11.516804     0.000
   3.05174    -11.522307     0.000
   3.04159    -11.527510     0.000
   3.03144    -11.532448     0.000
   3.02129    -11.537100     0.000
   3.01114    -11.541459     0.000
   3.00099    -11.545536     0.000
   2.99084    -11.549292     0.000
   2.98069    -11.552740     0.000
   2.97053    -11.555872     0.000
   2.96038    -11.558684     0.000
   2.95023    -11.561177     0.000
   2.94008    -11.563342     0.000
   2.92993    -11.565146     0.000
   2.91978    -11.566653     0.000
   2.90963    -11.567827     0.000
   2.89948    -11.568665     0.000
   2.88933    -11.569155     0.000
   2.87918    -11.569328     0.000
   2.87918    -11.569328     0.000
   2.86905    -11.566158     0.000
   2.85893    -11.556685     0.000
   2.84881    -11.541073     0.000
   2.83868    -11.519617     0.000
   2.82856    -11.492733     0.000
   2.81844    -11.460714     0.000
   2.80831    -11.424042     0.000
   2.79819    -11.383118     0.000
   2.78807    -11.338396     0.000
   2.77795    -11.290258     0.000
   2.76782    -11.239053     0.000
   2.75770    -11.185084     0.000
   2.74758    -11.128642     0.000
   2.73745    -11.069956     0.000
   2.72733    -11.009290     0.000
   2.71721    -10.946781     0.000
   2.70709    -10.882642     0.000
   2.69696    -10.817019     0.000
   2.68684    -10.750050     0.000
   2.67672    -10.681821     0.000
   2.66659    -10.612450     0.000
   2.65647    -10.542054     0.000
   2.64635    -10.470659     0.000
   2.63622    -10.398314     0.000
   2.62610    -10.325131     0.000
   2.61598    -10.251169     0.000
   2.60586    -10.176418     0.000
   2.59573    -10.100991     0.000
   2.58561    -10.024885     0.000
   2.57549     -9.948058     0.000
   2.56536     -9.870727     0.000
   2.55524     -9.792812     0.000
   2.54512     -9.714358     0.000
   2.53500     -9.635392     0.000
   2.52487     -9.555952     0.000
   2.51475     -9.476057     0.000
   2.50463     -9.395631     0.000
   2.49450     -9.314863     0.000
   2.48438     -9.233699     0.000
   2.47426     -9.152154     0.000
   2.46413     -9.070264     0.000
   2.45401     -8.988087     0.000
   2.44389     -8.905461     0.000
   2.43377     -8.822572     0.000
   2.42364     -8.739391     0.000
   2.41352     -8.655926     0.000
   2.40340     -8.572203     0.000
   2.39327     -8.488276     0.000
   2.38315     -8.404040     0.000
   2.37303     -8.319636     0.000
   2.36290     -8.235019     0.000
   2.35278     -8.150291     0.000
   2.34266     -8.065316     0.000
   2.33254     -7.980116     0.000
   2.32241     -7.894863     0.000
   2.31229     -7.809477     0.000
   2.30217     -7.724023     0.000
   2.29204     -7.638478     0.000
   2.28192     -7.552720     0.000
   2.27180     -7.467020     0.000
   2.26168     -7.381267     0.000
   2.25155     -7.295468     0.000
   2.24143     -7.209580     0.000
   2.23131     -7.123787     0.000
   2.22118     -7.037985     0.000
   2.21106     -6.952280     0.000
   2.20094     -6.866545     0.000
   2.19081     -6.781035     0.000
   2.18069     -6.695579     0.000
   2.17057     -6.610336     0.000
   2.16045     -6.525403     0.000
   2.15032     -6.440665     0.000
   2.14020     -6.356094     0.000
   2.13008     -6.271365     0.000
   2.11995     -6.187175     0.000
   2.10983     -6.103206     0.000
   2.09971     -6.019597     0.000
   2.08959     -5.936157     0.000
   2.07946     -5.853302     0.000
   2.06934     -5.770482     0.000
   2.05922     -5.688197     0.000
   2.04909     -5.606446     0.000
   2.03897     -5.525145     0.000
   2.02885     -5.444127     0.000
   2.01872     -5.364051     0.000
   2.00860     -5.284120     0.000
   1.99848     -5.221334     0.410
   1.98836     -5.249037     0.410
   1.97823     -5.276153     0.410
   1.96811     -5.302671     0.410
   1.95799     -5.328666     0.410
   1.94786     -5.354204     0.410
   1.93774     -5.378886     0.408
   1.92762     -5.403038     0.408
   1.91749     -5.426577     0.408
   1.90737     -5.449491     0.408
   1.89725     -5.471816     0.408
   1.88713     -5.493509     0.408
   1.87700     -5.514589     0.408
   1.86688     -5.535015     0.406
   1.85676     -5.554905     0.406
   1.84663     -5.574141     0.406
   1.83651     -5.592752     0.406
   1.82639     -5.610754     0.406
   1.81627     -5.628153     0.406
   1.80614     -5.644913     0.406
   1.79602     -5.661046     0.406
   1.78590     -5.676554     0.406
   1.77577     -5.691429     0.404
   1.76565     -5.705657     0.404
   1.75553     -5.719287     0.404
   1.74540     -5.732323     0.404
   1.73528     -5.744727     0.404
   1.72516     -5.756661     0.404
   1.71504     -5.767770     0.404
   1.70491     -5.778252     0.404
   1.69479     -5.788026     0.404
   1.68467     -5.797323     0.404
   1.67454     -5.805908     0.404
   1.66442     -5.813858     0.404
   1.65430     -5.821174     0.404
   1.64418     -5.827887     0.404
   1.63405     -5.833897     0.404
   1.62393     -5.839312     0.404
   1.61381     -5.844086     0.404
   1.60368     -5.848161     0.404
   1.59356     -5.851592     0.402
   1.58344     -5.854458     0.402
   1.57331     -5.856654     0.402
   1.56319     -5.858234     0.402
   1.55307     -5.859130     0.402
   1.54295     -5.859672     0.402
   1.54295     -5.859672     0.402
   1.53286     -5.859055     0.402
   1.52278     -5.858132     0.402
   1.51269     -5.856545     0.402
   1.50261     -5.854464     0.402
   1.49252     -5.851621     0.402
   1.48244     -5.848150     0.404
   1.47235     -5.844047     0.404
   1.46227     -5.839308     0.404
   1.45218     -5.833949     0.404
   1.44210     -5.827934     0.404
   1.43201     -5.821304     0.404
   1.42193     -5.814040     0.404
   1.41185     -5.806155     0.404
   1.40176     -5.797635     0.404
   1.39168     -5.788487     0.404
   1.38159     -5.778707     0.404
   1.37151     -5.768303     0.404
   1.36142     -5.757298     0.404
   1.35134     -5.745599     0.404
   1.34125     -5.733318     0.404
   1.33117     -5.720413     0.404
   1.32108     -5.706915     0.404
   1.31100     -5.692763     0.404
   1.30091     -5.677989     0.406
   1.29083     -5.662594     0.406
   1.28075     -5.646488     0.406
   1.27066     -5.629932     0.406
   1.26058     -5.612650     0.406
   1.25049     -5.594810     0.406
   1.24041     -5.576336     0.406
   1.23032     -5.557241     0.406
   1.22024     -5.537490     0.406
   1.21015     -5.517157     0.408
   1.20007     -5.496257     0.408
   1.18998     -5.474690     0.408
   1.17990     -5.452439     0.408
   1.16981     -5.429689     0.408
   1.15973     -5.406348     0.408
   1.14965     -5.382500     0.408
   1.13956     -5.357965     0.410
   1.12948     -5.332735     0.410
