   #Energy      xx(%)           yy(%)
   4.701      0.9569E+02      0.9569E+02
   4.719      0.9577E+02      0.9577E+02
   4.737      0.9585E+02      0.9585E+02
   4.756      0.9592E+02      0.9592E+02
   4.774      0.9600E+02      0.9600E+02
   4.792      0.9607E+02      0.9607E+02
   4.811      0.9614E+02      0.9614E+02
   4.829      0.9620E+02      0.9620E+02
   4.847      0.9627E+02      0.9627E+02
   4.865      0.9633E+02      0.9633E+02
   4.884      0.9639E+02      0.9639E+02
   4.902      0.9645E+02      0.9645E+02
   4.920      0.9651E+02      0.9651E+02
   4.939      0.9657E+02      0.9657E+02
   4.957      0.9663E+02      0.9663E+02
   4.975      0.9668E+02      0.9668E+02
   4.993      0.9673E+02      0.9673E+02
   5.012      0.9678E+02      0.9678E+02
   5.030      0.9684E+02      0.9684E+02
   5.048      0.9688E+02      0.9688E+02
   5.066      0.9693E+02      0.9693E+02
   5.085      0.9698E+02      0.9698E+02
   5.103      0.9702E+02      0.9702E+02
   5.121      0.9707E+02      0.9707E+02
   5.140      0.9711E+02      0.9711E+02
   5.158      0.9716E+02      0.9716E+02
   5.176      0.9720E+02      0.9720E+02
   5.195      0.9724E+02      0.9724E+02
   5.213      0.9728E+02      0.9728E+02
   5.231      0.9732E+02      0.9732E+02
   5.249      0.9736E+02      0.9736E+02
   5.268      0.9739E+02      0.9739E+02
   5.286      0.9743E+02      0.9743E+02
   5.304      0.9747E+02      0.9747E+02
   5.323      0.9750E+02      0.9750E+02
   5.341      0.9754E+02      0.9754E+02
   5.359      0.9757E+02      0.9757E+02
   5.378      0.9760E+02      0.9760E+02
   5.396      0.9764E+02      0.9764E+02
   5.414      0.9767E+02      0.9767E+02
   5.432      0.9770E+02      0.9770E+02
   5.451      0.9773E+02      0.9773E+02
   5.469      0.9776E+02      0.9776E+02
   5.487      0.9779E+02      0.9779E+02
   5.505      0.9782E+02      0.9782E+02
   5.524      0.9785E+02      0.9785E+02
   5.542      0.9787E+02      0.9787E+02
   5.560      0.9790E+02      0.9790E+02
   5.579      0.9793E+02      0.9793E+02
   5.597      0.9795E+02      0.9795E+02
   5.615      0.9798E+02      0.9798E+02
   5.633      0.9801E+02      0.9801E+02
   5.652      0.9803E+02      0.9803E+02
   5.670      0.9805E+02      0.9805E+02
   5.688      0.9808E+02      0.9808E+02
   5.707      0.9810E+02      0.9810E+02
   5.725      0.9813E+02      0.9813E+02
   5.743      0.9815E+02      0.9815E+02
   5.762      0.9817E+02      0.9817E+02
   5.780      0.9819E+02      0.9819E+02
   5.798      0.9821E+02      0.9821E+02
   5.816      0.9824E+02      0.9824E+02
   5.835      0.9826E+02      0.9826E+02
   5.853      0.9828E+02      0.9828E+02
   5.871      0.9830E+02      0.9830E+02
   5.890      0.9832E+02      0.9832E+02
   5.908      0.9834E+02      0.9834E+02
   5.926      0.9836E+02      0.9836E+02
   5.944      0.9838E+02      0.9838E+02
   5.963      0.9839E+02      0.9839E+02
   5.981      0.9841E+02      0.9841E+02
   5.999      0.9843E+02      0.9843E+02
   6.018      0.9845E+02      0.9845E+02
   6.036      0.9847E+02      0.9847E+02
   6.054      0.9848E+02      0.9848E+02
   6.072      0.9850E+02      0.9850E+02
   6.091      0.9852E+02      0.9852E+02
   6.109      0.9853E+02      0.9853E+02
   6.127      0.9855E+02      0.9855E+02
   6.146      0.9856E+02      0.9856E+02
   6.164      0.9858E+02      0.9858E+02
   6.182      0.9860E+02      0.9860E+02
   6.200      0.9861E+02      0.9861E+02
   6.219      0.9863E+02      0.9863E+02
   6.237      0.9864E+02      0.9864E+02
   6.255      0.9865E+02      0.9865E+02
   6.274      0.9867E+02      0.9867E+02
   6.292      0.9868E+02      0.9868E+02
   6.310      0.9870E+02      0.9870E+02
   6.329      0.9871E+02      0.9871E+02
   6.347      0.9872E+02      0.9872E+02
   6.365      0.9874E+02      0.9874E+02
   6.383      0.9875E+02      0.9875E+02
   6.402      0.9876E+02      0.9876E+02
   6.420      0.9877E+02      0.9877E+02
   6.438      0.9879E+02      0.9879E+02
   6.457      0.9880E+02      0.9880E+02
   6.475      0.9881E+02      0.9881E+02
   6.493      0.9882E+02      0.9882E+02
   6.511      0.9884E+02      0.9884E+02
   6.530      0.9885E+02      0.9885E+02
   6.548      0.9886E+02      0.9886E+02
   6.566      0.9887E+02      0.9887E+02
   6.585      0.9888E+02      0.9888E+02
   6.603      0.9889E+02      0.9889E+02
   6.621      0.9890E+02      0.9890E+02
   6.639      0.9891E+02      0.9891E+02
   6.658      0.9892E+02      0.9892E+02
   6.676      0.9893E+02      0.9893E+02
   6.694      0.9894E+02      0.9894E+02
   6.713      0.9895E+02      0.9895E+02
   6.731      0.9896E+02      0.9896E+02
   6.749      0.9897E+02      0.9897E+02
   6.768      0.9898E+02      0.9898E+02
   6.786      0.9899E+02      0.9899E+02
   6.804      0.9900E+02      0.9900E+02
   6.822      0.9901E+02      0.9901E+02
   6.841      0.9902E+02      0.9902E+02
   6.859      0.9903E+02      0.9903E+02
   6.877      0.9904E+02      0.9904E+02
   6.896      0.9905E+02      0.9905E+02
   6.914      0.9905E+02      0.9905E+02
   6.932      0.9906E+02      0.9906E+02
   6.950      0.9907E+02      0.9907E+02
   6.969      0.9908E+02      0.9908E+02
   6.987      0.9909E+02      0.9909E+02
   7.005      0.9909E+02      0.9909E+02
   7.024      0.9910E+02      0.9910E+02
   7.042      0.9911E+02      0.9911E+02
   7.060      0.9912E+02      0.9912E+02
   7.079      0.9912E+02      0.9912E+02
   7.097      0.9913E+02      0.9913E+02
   7.115      0.9914E+02      0.9914E+02
   7.133      0.9915E+02      0.9915E+02
   7.152      0.9915E+02      0.9915E+02
   7.170      0.9916E+02      0.9916E+02
   7.188      0.9917E+02      0.9917E+02
   7.207      0.9918E+02      0.9918E+02
   7.225      0.9918E+02      0.9918E+02
   7.243      0.9919E+02      0.9919E+02
   7.261      0.9920E+02      0.9920E+02
   7.280      0.9920E+02      0.9920E+02
   7.298      0.9921E+02      0.9921E+02
   7.316      0.9921E+02      0.9921E+02
   7.335      0.9922E+02      0.9922E+02
   7.353      0.9923E+02      0.9923E+02
   7.371      0.9923E+02      0.9923E+02
   7.389      0.9924E+02      0.9924E+02
   7.408      0.9924E+02      0.9924E+02
   7.426      0.9925E+02      0.9925E+02
   7.444      0.9926E+02      0.9926E+02
   7.463      0.9926E+02      0.9926E+02
   7.481      0.9927E+02      0.9927E+02
   7.499      0.9927E+02      0.9927E+02
   7.518      0.9928E+02      0.9928E+02
   7.536      0.9928E+02      0.9928E+02
   7.554      0.9929E+02      0.9929E+02
   7.572      0.9929E+02      0.9929E+02
   7.591      0.9930E+02      0.9930E+02
   7.609      0.9930E+02      0.9930E+02
   7.627      0.9931E+02      0.9931E+02
   7.646      0.9931E+02      0.9931E+02
   7.664      0.9932E+02      0.9932E+02
   7.682      0.9932E+02      0.9932E+02
   7.700      0.9933E+02      0.9933E+02
   7.719      0.9933E+02      0.9933E+02
   7.737      0.9934E+02      0.9934E+02
   7.755      0.9934E+02      0.9934E+02
   7.774      0.9935E+02      0.9935E+02
   7.792      0.9935E+02      0.9935E+02
   7.810      0.9935E+02      0.9935E+02
   7.828      0.9936E+02      0.9936E+02
   7.847      0.9936E+02      0.9936E+02
   7.865      0.9937E+02      0.9937E+02
   7.883      0.9937E+02      0.9937E+02
   7.902      0.9937E+02      0.9937E+02
   7.920      0.9938E+02      0.9938E+02
   7.938      0.9938E+02      0.9938E+02
   7.956      0.9939E+02      0.9939E+02
   7.975      0.9939E+02      0.9939E+02
   7.993      0.9939E+02      0.9939E+02
   8.011      0.9940E+02      0.9940E+02
   8.030      0.9940E+02      0.9940E+02
   8.048      0.9940E+02      0.9940E+02
   8.066      0.9941E+02      0.9941E+02
   8.085      0.9941E+02      0.9941E+02
   8.103      0.9941E+02      0.9941E+02
   8.121      0.9942E+02      0.9942E+02
   8.139      0.9942E+02      0.9942E+02
   8.158      0.9942E+02      0.9942E+02
   8.176      0.9943E+02      0.9943E+02
   8.194      0.9943E+02      0.9943E+02
   8.213      0.9943E+02      0.9943E+02
   8.231      0.9944E+02      0.9944E+02
   8.249      0.9944E+02      0.9944E+02
   8.267      0.9944E+02      0.9944E+02
   8.286      0.9944E+02      0.9944E+02
   8.304      0.9945E+02      0.9945E+02
   8.322      0.9945E+02      0.9945E+02
   8.341      0.9945E+02      0.9945E+02
   8.359      0.9946E+02      0.9946E+02
   8.377      0.9946E+02      0.9946E+02
   8.395      0.9946E+02      0.9946E+02
   8.414      0.9946E+02      0.9946E+02
   8.432      0.9947E+02      0.9947E+02
   8.450      0.9947E+02      0.9947E+02
   8.469      0.9947E+02      0.9947E+02
   8.487      0.9947E+02      0.9947E+02
   8.505      0.9947E+02      0.9947E+02
   8.524      0.9948E+02      0.9948E+02
   8.542      0.9948E+02      0.9948E+02
